PLAYER_ID,TEAM_ID,PERIOD,ACTION_TYPE,SHOT_TYPE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG,SEASON,TOTAL_REMAINING_IN_GAME
2755,45,1,0,2,1,-16,11,1,2010,2339
2581,47,1,4,2,20,203,-8,0,2010,2327
2200,47,1,23,2,2,-21,14,1,2010,2315
2200,47,1,9,2,13,-103,89,0,2010,2281
1897,47,1,4,2,23,12,230,0,2010,2255
2755,45,1,4,2,3,15,36,0,2010,2247
1897,47,1,4,3,25,-231,119,0,2010,2239
2200,47,1,22,2,2,-21,19,1,2010,2229
2755,45,1,4,2,23,-134,187,0,2010,2213
201584,45,1,15,2,1,-2,11,0,2010,2191
201978,45,1,21,2,2,-10,23,1,2010,2189
200769,47,1,4,2,21,111,179,1,2010,2176
201166,45,1,4,3,26,-21,268,1,2010,2160
200769,47,1,4,3,71,114,701,0,2010,2160
201978,45,2,4,2,18,54,179,1,2010,2149
1885,47,2,0,2,1,-16,9,1,2010,2125
201978,45,2,4,3,24,-242,9,0,2010,2100
201978,45,2,25,2,2,15,20,1,2010,2062
2440,47,2,26,2,2,15,22,1,2010,2038
201584,45,2,4,2,17,-155,80,1,2010,2019
2440,47,2,4,3,25,-62,246,0,2010,1996
1802,45,2,4,2,15,-108,113,1,2010,1975
977,47,2,4,2,11,10,113,1,2010,1960
201978,45,2,27,2,2,21,14,1,2010,1945
2581,47,2,4,3,25,-101,239,0,2010,1929
1885,47,2,14,2,1,-15,7,1,2010,1911
202397,45,2,4,2,4,34,26,0,2010,1885
2397,45,2,0,2,2,17,12,1,2010,1885
201584,45,2,8,2,1,9,15,1,2010,1864
977,47,2,11,2,10,-103,-3,1,2010,1852
201584,45,2,4,2,14,99,102,0,2010,1844
2200,47,2,4,2,17,-26,168,0,2010,1834
201584,45,2,0,2,2,4,25,0,2010,1816
2397,45,2,4,2,3,-18,28,0,2010,1796
2200,47,2,4,2,6,-41,52,0,2010,1783
1885,47,2,26,2,2,4,25,1,2010,1781
201978,45,2,4,2,16,-43,164,0,2010,1766
1885,47,2,3,2,2,-26,11,1,2010,1761
2755,45,2,10,2,7,18,69,1,2010,1718
1885,47,2,0,2,2,-7,23,0,2010,1703
201978,45,2,0,2,1,-7,15,1,2010,1698
1885,47,2,27,2,1,15,11,1,2010,1679
977,47,2,4,2,21,-191,93,0,2010,1651
2755,45,2,4,3,24,-248,-10,0,2010,1641
201978,45,2,4,2,4,24,37,0,2010,1639
2755,45,2,4,2,18,75,173,0,2010,1608
1897,47,2,4,3,27,-185,198,0,2010,1599
2449,45,2,4,2,16,4,165,0,2010,1586
2755,45,2,21,2,2,2,28,1,2010,1585
977,47,2,4,2,11,69,94,0,2010,1565
2203,45,2,4,3,23,-231,-5,0,2010,1555
1897,47,2,4,2,3,-7,39,0,2010,1548
2449,45,2,4,2,8,89,9,1,2010,1539
2755,45,2,4,2,4,37,31,0,2010,1511
2200,47,2,12,2,2,-15,19,0,2010,1498
201166,45,2,4,3,23,-232,-10,1,2010,1492
977,47,2,24,2,12,94,88,1,2010,1482
977,47,2,4,3,25,196,164,0,2010,1468
201166,45,2,2,2,20,106,179,0,2010,1449
977,47,2,4,3,33,155,295,0,2010,1440
2449,45,3,4,2,5,51,7,0,2010,1419
2200,47,3,12,2,6,-15,66,0,2010,1395
201166,45,3,17,2,7,56,50,0,2010,1387
977,47,3,4,2,10,-21,101,0,2010,1376
2397,45,3,4,2,13,13,137,0,2010,1359
2200,47,3,4,2,18,-103,151,0,2010,1348
2397,45,3,12,2,8,6,82,1,2010,1334
2200,47,3,4,2,5,-34,42,1,2010,1316
1897,47,3,0,2,1,-12,11,0,2010,1301
2203,45,3,4,3,24,239,52,1,2010,1281
